age1,gender,income,height,kgs,kgs2,bmi,religion1,eating1,status1,marital_status1,family_type1,manglik1,horoscope,drinking1,smoking1,values1,complexion1,body1,caste_imp,created_for,employed1,father,mother,living,brothers,sisters,education1
23.0,0,2500.0,63.0,50.0,49.0,19.5263681029,0.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,4.0,2.0,1.0,1,0.0,4.0,8.0,4.0,1.0,0.0,2.0,3.0
23.0,0,5833.0,66.0,62.0,68.0,22.0615684574,0.0,3.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,4.0,2.0,2.0,0,2.0,5.0,2.0,4.0,1.0,1.0,0.0,3.0
23.0,0,1250.0,64.0,60.0,55.0,22.7051235352,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,1,0.0,0.0,7.0,4.0,1.0,1.0,1.0,3.0
23.0,0,5833.0,66.0,52.0,41.0,18.5032509643,0.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,2.0,1.0,1,1.0,4.0,6.0,4.0,1.0,1.0,3.0,2.0
23.0,0,5833.0,61.0,50.0,62.0,20.8277761355,0.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,1,4.0,5.0,2.0,4.0,1.0,0.0,1.0,2.0
23.0,0,1250.0,61.0,53.0,52.0,22.0774427037,0.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,1,2.0,4.0,7.0,4.0,1.0,2.0,0.0,0.0
23.0,0,4167.0,64.0,45.0,49.0,17.0288426514,0.0,4.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,3.0,2.0,1.0,1,1.0,4.0,2.0,8.0,1.0,2.0,0.0,2.0
23.0,0,14167.0,65.0,50.0,62.0,18.3432319527,0.0,3.0,3.0,1.0,2.0,0.0,1.0,1.0,1.0,5.0,3.0,1.0,1,0.0,5.0,7.0,6.0,1.0,1.0,1.0,3.0
23.0,0,1250.0,63.0,58.0,65.0,22.6505869993,0.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,0,2.0,4.0,8.0,4.0,1.0,0.0,1.0,2.0
23.0,0,4167.0,62.0,50.0,55.0,20.1613306452,0.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1,2.0,4.0,5.0,5.0,1.0,1.0,1.0,3.0
23.0,0,417.0,65.0,49.0,77.0,17.9763673137,0.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,1,0.0,0.0,7.0,4.0,1.0,1.0,0.0,2.0
23.0,0,62500.0,60.0,41.0,63.0,17.6528130834,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,0,0.0,4.0,2.0,4.0,1.0,1.0,1.0,2.0
23.0,0,5833.0,63.0,56.0,58.0,21.8695322752,0.0,3.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,2.0,2.0,1,1.0,4.0,6.0,4.0,1.0,0.0,0.0,2.0
23.0,0,2500.0,60.0,47.0,62.0,20.2361515834,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,3.0,2.0,1,0.0,4.0,7.0,4.0,1.0,1.0,1.0,3.0
23.0,0,7500.0,62.0,43.0,41.0,17.3387443549,0.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,3.0,2.0,1.0,1,0.0,1.0,7.0,4.0,0.0,1.0,1.0,2.0
23.0,0,2500.0,64.0,60.0,41.0,22.7051235352,0.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,3.0,4.0,4.0,1,0.0,4.0,7.0,7.0,0.0,0.0,1.0,2.0
23.0,0,5833.0,61.0,50.0,55.0,20.8277761355,0.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,1,1.0,5.0,2.0,4.0,1.0,0.0,1.0,2.0
23.0,0,2500.0,63.0,55.0,65.0,21.4790049132,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,0,0.0,5.0,7.0,4.0,1.0,0.0,1.0,2.0
23.0,0,4167.0,69.0,52.0,67.0,16.9292504096,0.0,4.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,7.0,2.0,2.0,1,2.0,2.0,7.0,4.0,1.0,1.0,0.0,2.0
23.0,0,5833.0,63.0,58.0,54.0,22.6505869993,0.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1,1.0,5.0,8.0,4.0,1.0,0.0,0.0,2.0
23.0,0,1250.0,62.0,60.0,50.0,24.1935967743,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1,2.0,5.0,2.0,9.0,1.0,1.0,2.0,2.0
23.0,0,5833.0,65.0,55.0,46.0,20.177555148,0.0,4.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,1,3.0,5.0,7.0,4.0,1.0,0.0,0.0,2.0
23.0,0,2500.0,63.0,56.0,53.0,21.8695322752,0.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1,1.0,4.0,7.0,4.0,1.0,0.0,1.0,2.0
23.0,0,1250.0,60.0,52.0,51.0,22.3889336668,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,1,0.0,4.0,8.0,4.0,1.0,1.0,1.0,2.0
23.0,0,2500.0,60.0,45.0,60.0,19.3750387501,0.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1,0.0,4.0,2.0,4.0,1.0,1.0,1.0,2.0
23.0,0,7500.0,64.0,52.0,51.0,19.6777737305,0.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1,1.0,5.0,8.0,8.0,1.0,1.0,1.0,3.0
24.0,0,4167.0,61.0,47.0,58.0,19.5781095674,0.0,4.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,4.0,3.0,2.0,1,0.0,4.0,10.0,4.0,0.0,2.0,0.0,2.0
24.0,0,4167.0,64.0,49.0,77.0,18.5425175538,0.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,2.0,1.0,1,1.0,6.0,7.0,4.0,1.0,1.0,1.0,4.0
24.0,0,7500.0,64.0,60.0,72.0,22.7051235352,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,2.0,1,1.0,4.0,2.0,4.0,1.0,0.0,0.0,2.0
24.0,0,417.0,66.0,54.0,67.0,19.2149144629,0.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,2.0,1.0,1,1.0,0.0,2.0,2.0,1.0,1.0,0.0,3.0
24.0,0,4167.0,66.0,50.0,80.0,17.7915874656,0.0,4.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,4.0,2.0,2.0,1,1.0,5.0,7.0,4.0,1.0,0.0,1.0,2.0
24.0,0,14167.0,62.0,60.0,62.0,24.1935967743,0.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,1,1.0,0.0,2.0,4.0,1.0,0.0,0.0,3.0
24.0,0,4167.0,62.0,54.0,61.0,21.7742370969,0.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1,0.0,5.0,7.0,4.0,1.0,2.0,0.0,2.0
24.0,0,7500.0,63.0,50.0,60.0,19.5263681029,0.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,1,1.0,4.0,6.0,6.0,1.0,0.0,1.0,3.0
24.0,0,4167.0,63.0,45.0,41.0,17.5737312926,0.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1,1.0,4.0,6.0,4.0,1.0,1.0,0.0,3.0
24.0,0,2500.0,61.0,46.0,41.0,19.1615540447,0.0,4.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,4.0,2.0,1.0,1,0.0,4.0,2.0,4.0,1.0,2.0,1.0,2.0
24.0,0,4167.0,63.0,53.0,41.0,20.697950189,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,4.0,0,0.0,4.0,5.0,5.0,1.0,1.0,1.0,0.0
24.0,0,100000.0,63.0,55.0,52.0,21.4790049132,0.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0,0,0.0,0.0,7.0,4.0,1.0,0.0,3.0,3.0
24.0,0,7500.0,63.0,45.0,55.0,17.5737312926,0.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,1,0.0,5.0,7.0,4.0,0.0,2.0,2.0,2.0
24.0,0,5833.0,68.0,52.0,55.0,17.4308307094,0.0,4.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1,1.0,5.0,7.0,4.0,0.0,0.0,3.0,2.0
24.0,0,4167.0,66.0,51.0,51.0,18.1474192149,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,1,2.0,4.0,7.0,4.0,1.0,1.0,0.0,2.0
24.0,0,4167.0,66.0,49.0,55.0,17.4357557163,0.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,0,1.0,6.0,8.0,9.0,1.0,1.0,2.0,2.0
24.0,0,2500.0,65.0,64.0,65.0,23.4793368995,0.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,2.0,2.0,1,0.0,5.0,6.0,4.0,1.0,0.0,0.0,3.0
24.0,0,5833.0,63.0,58.0,50.0,22.6505869993,0.0,4.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,2.0,2.0,1,3.0,4.0,8.0,4.0,1.0,0.0,0.0,2.0
24.0,0,4167.0,69.0,56.0,48.0,18.2315004412,0.0,2.0,1.0,4.0,1.0,0.0,1.0,1.0,1.0,3.0,3.0,2.0,1,0.0,4.0,7.0,4.0,1.0,1.0,0.0,2.0
24.0,0,14167.0,64.0,49.0,68.0,18.5425175538,0.0,4.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,5.0,2.0,2.0,0,0.0,5.0,2.0,9.0,0.0,1.0,1.0,3.0
24.0,0,2500.0,66.0,65.0,69.0,23.1290637053,0.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,4.0,2.0,1,1.0,4.0,7.0,4.0,1.0,0.0,1.0,2.0
24.0,0,5833.0,65.0,46.0,62.0,16.8757733965,0.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1,2.0,5.0,2.0,9.0,1.0,1.0,0.0,2.0
24.0,0,1250.0,63.0,55.0,50.0,21.4790049132,0.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1,2.0,4.0,7.0,4.0,1.0,0.0,4.0,3.0
24.0,0,2500.0,59.0,50.0,62.0,22.2637618501,0.0,4.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,3.0,2.0,2.0,1,2.0,4.0,5.0,7.0,1.0,1.0,0.0,3.0
24.0,0,5833.0,63.0,53.0,49.0,20.697950189,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,2.0,2.0,1,1.0,5.0,7.0,4.0,1.0,1.0,0.0,2.0
24.0,0,2500.0,59.0,55.0,65.0,24.4901380351,0.0,4.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,3.0,2.0,2.0,1,1.0,5.0,8.0,4.0,1.0,0.0,1.0,2.0
24.0,0,1250.0,63.0,60.0,62.0,23.4316417234,0.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,4.0,3.0,2.0,1,1.0,4.0,7.0,4.0,1.0,1.0,2.0,2.0
24.0,0,90000.0,62.0,43.0,59.0,17.3387443549,0.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,3.0,2.0,1.0,1,4.0,5.0,2.0,4.0,1.0,1.0,0.0,3.0
24.0,0,417.0,61.0,51.0,50.0,21.2443316582,0.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,1,2.0,4.0,7.0,9.0,1.0,1.0,1.0,1.0
24.0,0,1250.0,60.0,58.0,49.0,24.9722721668,0.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,1,1.0,4.0,2.0,4.0,1.0,2.0,0.0,3.0
24.0,0,2500.0,62.0,50.0,41.0,20.1613306452,0.0,4.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1,0.0,4.0,7.0,4.0,0.0,1.0,0.0,2.0
24.0,0,417.0,60.0,48.0,41.0,20.6667080001,0.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,2.0,1.0,1,0.0,4.0,2.0,4.0,1.0,1.0,0.0,2.0
24.0,0,417.0,62.0,54.0,46.0,21.7742370969,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,1,2.0,4.0,5.0,4.0,1.0,1.0,1.0,3.0
24.0,0,7500.0,66.0,68.0,75.0,24.1965589533,0.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,2.0,1.0,1,1.0,4.0,7.0,4.0,1.0,1.0,0.0,2.0
24.0,0,2500.0,60.0,52.0,48.0,22.3889336668,0.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,1,2.0,4.0,5.0,4.0,1.0,1.0,2.0,0.0
24.0,0,5833.0,63.0,60.0,67.0,23.4316417234,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,2.0,1.0,1,1.0,5.0,2.0,4.0,1.0,1.0,0.0,2.0
24.0,0,5833.0,64.0,50.0,54.0,18.9209362794,0.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,1,2.0,4.0,7.0,4.0,1.0,1.0,0.0,3.0
24.0,0,2500.0,65.0,55.0,62.0,20.177555148,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,2.0,2.0,1,0.0,4.0,8.0,4.0,1.0,1.0,1.0,2.0
24.0,0,1250.0,61.0,57.0,41.0,23.7436647945,0.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,0,2.0,4.0,7.0,4.0,1.0,0.0,1.0,2.0
24.0,0,5833.0,64.0,60.0,65.0,22.7051235352,0.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,3.0,2.0,2.0,1,1.0,5.0,7.0,4.0,0.0,2.0,1.0,2.0
24.0,0,4167.0,62.0,42.0,53.0,16.935517742,0.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1,1.0,4.0,8.0,4.0,1.0,0.0,1.0,3.0
24.0,0,1250.0,62.0,40.0,55.0,16.1290645162,0.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,1,0.0,6.0,7.0,4.0,1.0,0.0,2.0,2.0
24.0,0,4167.0,61.0,40.0,41.0,16.6622209084,0.0,3.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,3.0,2.0,2.0,1,1.0,4.0,8.0,7.0,1.0,0.0,0.0,2.0
24.0,0,2500.0,63.0,58.0,62.0,22.6505869993,0.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,1,0.0,2.0,7.0,4.0,1.0,1.0,2.0,3.0
24.0,0,2500.0,65.0,47.0,41.0,17.2426380356,0.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,1,0.0,5.0,2.0,5.0,1.0,1.0,1.0,2.0
24.0,0,2500.0,62.0,42.0,59.0,16.935517742,0.0,4.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1,1.0,4.0,5.0,8.0,1.0,2.0,3.0,2.0
24.0,0,1250.0,61.0,60.0,51.0,24.9933313626,0.0,4.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,1,2.0,4.0,7.0,4.0,1.0,1.0,1.0,2.0
24.0,0,1250.0,60.0,48.0,47.0,20.6667080001,0.0,4.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,1,2.0,4.0,2.0,4.0,0.0,1.0,1.0,3.0
24.0,0,4167.0,63.0,58.0,75.0,22.6505869993,0.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,1.0,2.0,0,1.0,5.0,2.0,4.0,1.0,1.0,0.0,3.0
25.0,0,14167.0,64.0,53.0,59.0,20.0561924561,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,1,1.0,5.0,7.0,4.0,0.0,0.0,1.0,3.0
25.0,0,2500.0,59.0,51.0,62.0,22.7090370871,0.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,3.0,2.0,1,0.0,4.0,8.0,4.0,1.0,1.0,0.0,2.0
25.0,0,4167.0,63.0,47.0,62.0,18.3547860167,0.0,4.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,3.0,1.0,2.0,1,1.0,4.0,3.0,4.0,1.0,0.0,1.0,3.0
25.0,0,7500.0,63.0,70.0,70.0,27.336915344,0.0,2.0,2.0,1.0,2.0,4.0,1.0,1.0,1.0,3.0,2.0,2.0,1,1.0,4.0,7.0,2.0,1.0,1.0,1.0,2.0
25.0,0,7500.0,62.0,51.0,63.0,20.5645572581,0.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,2.0,1.0,1,1.0,4.0,7.0,4.0,0.0,1.0,0.0,2.0
25.0,0,2500.0,63.0,56.0,64.0,21.8695322752,0.0,4.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,2.0,4.0,1,1.0,6.0,10.0,4.0,1.0,0.0,2.0,3.0
25.0,0,14167.0,64.0,60.0,66.0,22.7051235352,0.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,1,3.0,5.0,2.0,4.0,1.0,1.0,0.0,2.0
25.0,0,7500.0,63.0,52.0,56.0,20.307422827,0.0,3.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,3.0,1.0,1,1.0,3.0,8.0,4.0,0.0,1.0,0.0,3.0
25.0,0,5833.0,67.0,65.0,65.0,22.4437962799,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1,1.0,5.0,7.0,4.0,1.0,0.0,0.0,3.0
25.0,0,4167.0,64.0,64.0,41.0,24.2187984376,0.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,3.0,2.0,2.0,1,1.0,4.0,2.0,4.0,1.0,2.0,0.0,2.0
25.0,0,4167.0,63.0,53.0,67.0,20.697950189,0.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,4.0,3.0,4.0,1,1.0,4.0,2.0,4.0,0.0,0.0,1.0,3.0
25.0,0,4167.0,60.0,55.0,61.0,23.6806029168,0.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,1,3.0,4.0,2.0,4.0,1.0,1.0,0.0,3.0
25.0,0,2500.0,61.0,55.0,62.0,22.9105537491,0.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,1,1.0,4.0,2.0,4.0,1.0,2.0,0.0,3.0
25.0,0,2500.0,62.0,45.0,57.0,18.1451975807,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1,2.0,4.0,6.0,5.0,1.0,1.0,0.0,3.0
25.0,0,2500.0,63.0,60.0,72.0,23.4316417234,0.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,3.0,2.0,1,0.0,4.0,6.0,4.0,1.0,1.0,0.0,3.0
25.0,0,14167.0,63.0,48.0,65.0,18.7453133788,0.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,4.0,2.0,2.0,1,0.0,0.0,7.0,9.0,0.0,1.0,0.0,3.0
25.0,0,10000.0,62.0,51.0,57.0,20.5645572581,0.0,4.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,3.0,3.0,2.0,1,0.0,4.0,7.0,4.0,1.0,1.0,1.0,2.0
25.0,0,417.0,60.0,47.0,62.0,20.2361515834,0.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,3.0,2.0,2.0,1,1.0,0.0,2.0,4.0,1.0,2.0,1.0,3.0
25.0,0,1250.0,61.0,51.0,70.0,21.2443316582,0.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1,1.0,6.0,7.0,7.0,1.0,1.0,0.0,3.0
25.0,0,14167.0,66.0,57.0,76.0,20.2824097108,0.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,2.0,1.0,1,1.0,4.0,7.0,4.0,1.0,1.0,1.0,3.0
25.0,0,4167.0,64.0,55.0,70.0,20.8130299073,0.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,1,1.0,4.0,7.0,4.0,0.0,0.0,2.0,3.0
25.0,0,5833.0,64.0,55.0,70.0,20.8130299073,0.0,3.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,2.0,2.0,1,1.0,5.0,7.0,7.0,1.0,0.0,1.0,3.0
25.0,0,4167.0,64.0,50.0,90.0,18.9209362794,0.0,3.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,4.0,2.0,2.0,0,0.0,5.0,5.0,7.0,1.0,0.0,0.0,3.0
25.0,0,5833.0,63.0,53.0,48.0,20.697950189,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,2.0,2.0,1,0.0,4.0,5.0,4.0,1.0,0.0,3.0,3.0
25.0,0,417.0,65.0,53.0,67.0,19.4438258699,0.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1,0.0,4.0,8.0,4.0,1.0,1.0,0.0,3.0
25.0,0,4167.0,73.0,59.0,70.0,17.1608524865,0.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,1,0.0,1.0,5.0,4.0,1.0,0.0,0.0,2.0
