aboutText,age,caste,city,college,employedIn,height,profileID,religion
"i m very spiritual girl. i m into yoga and meditation.
i like reading and swimming.i want to enjoy my life fully.my life partner would b educated/ well settled/understanding/loving and caring.he believes in god.",48,,,,,5ft 6in,mosam_mosam,Hindu
"Stopped growing mentally a couple of years ago so you will find me pretty young ;)
I have a wonderful sense of humour, am witty and an extrovert at times.  All the above notwithstanding, I am a very down to earth person with a very stable mind in a sound body.  Love to sing and dance.  Love to drive!  Love reading books (whenever time permits i.e.) Love kids.  Love daughters.  Have immense respect for elders and strong family values.  Am a die hard romantic person and very passionate about everything that I do.  I work in a Multinational Co.   My 10 yr. old lives with me while the older son is on his own.  Separated from my husband for almost 8 years now. No inclination to go back.            ",48,Agarwal,"Bangalore, Karnataka, India",,Private Sector,5ft 3in,banf654921,Hindu
"I am  very  courageous, kindhearted, simple  and  a  hard worker. i love music  and believe in god. i am a social worker, have interest in astrology and capable of running a family in a good and progressive way.  ",48,Pillai,"Tirunelveli, Tamil Nadu, India",,Not Working,5ft,SMF1394813,Hindu
"Am god fearing, loving, caring, affectionate, sincere, honest, loyal, social, understanding, smart, family oriented, young, good looking and self sufficient. I have own flat. I like music, nature and traveling. I wish to have a peaceful and enjoyable life. Am working as a Class II Gazetted officer for a central Govt. dept.

Thanks for stopping by. Good Luck in your search! ",48,Others,"Chennai, Tamil Nadu, India",,Central Government,4ft 11in,jodf975790,Christian
"Simple, outgoing but still love my home. Looking for a decent but compatible life partner. He can be staying in India or abroad but should have Indian culture. Compatibility is very important and definitely educated and well settled. ",48,Sindhi,"Mumbai, Maharashtra, India",,Others,5ft 4in,SMF1486904,Hindu
"i am adjestable lady working in co-op.schedual bank,i have intrst in reading old song listining travaling natural scene seeing,cookingshooping all are my hobby",48,,,,Others,5ft 4in,cnp_1_in,Hindu
"Daughter of an Electr. Engineer of B.E.College,Sibpore. He was a senior Executive in a British firm of repute. He is no more. Both grand fathers were lawyers. All relatives are well settled in life. Both elder sisters are highly qualified and have been married off long ago to well settled Engineers. She is caring and responsible by nature and was assisting her mother in certain personal  matters after the death of father. They reside in their own accomodation in a respectable locality of south Kolkata. She is a M.A.,B.Ed.and a Teacher by profes sion. She is computer trained, is a good singer of bengali songs,and is accomplished in various ways. Their family is liberal, upper middle class and would expect to get a groom from a similar background",48,Baidya,"Kolkata, West Bengal, India",,Private Sector,5ft 2in,kolf1256302,Hindu
"I am a very simple girl, homely and want to live a happy life with my partner.  My hobbies are cooking, reading, tv and taking care of my home.  I am shy and introverted but I like to be happy and make others happy around me.  My goal in life is to settle down with a nice partner who is religious, friendly and good man.  ",48,Sunni,"Noida, Uttar Pradesh, India",,,5ft 3in,Ms_Farah,Muslim
"Quiet,reserved,strictly homely living with my mother,younger brother,his wife and two young nieces.My elder sister is married and lives separately with her family.",48,Others,"Mumbai, Maharashtra, India",,,5ft 2in,mumf1054404,Christian
i am dinakar working in a private firm in bangalore recenly my wife died due to illness i am looking for a nice natured girl who should think of my child rather than me i am very simple thinking and simple living person without any extraordinary goals in lifegirl should be adjustable natureand some patiencf,48,,,,Private Sector,,kardi1965,Hindu
"I am a simple and straightforward women; Seeking a trustworthy, loyal and understanding life partner. I am a nurse working in hospital. I stay with my parents. ",48,Others,"Mumbai, Maharashtra, India",,,5ft 8in,mumf944336,Christian
"My sister is a Canadian citizen. Owner of franchise for Academy of Learning, Brampton, Canada. Presently in India and working in Pune. She has one son, 21 years of age, studying Chemical engineering in Hamilton. She has a strong emotional bond with him. Even if they are not living together, son will remain the integral part of her life. Inspite of spending last 22 years out side India, my sister is a hardcore Indian at heart and strongly belives on family values, ethics and relationship. Being a canadian citizen, looking for a partner from UK, US, Aus, Canada. ",48,Brahmin - Kokanastha,"Nasik, Maharashtra, India",,Others,5ft 5in,nasf1114972,Hindu
"Very neat n clean person, good in heart n mind, got 2 children, they r now grown big, Me a simple person, very much into social world, like to meet new people fro all over the world, like to know their culture, to be happy with the man who will love me for what I am. Lookin for a man who take me as his better-half n untill death apart us, love n live together in a knot, in wed lock.Thanks",48,,,,Others,5ft 2in,rosemary,Christian
"I have a brother, studying in engineering collage in third year; father is working in Mncs as a managerial post; mother is a housewife; i have traditional values and god fearing and like the classical music and reading the spiritual books.",48,Khatri,"Navi Mumbai, Maharashtra, India",,Public Sector,5ft 3in,SMF1400877,Hindu
"I am sweet ,friendly, and simple at heart.I am fair,slim, and look not more than 32yrs in age.I am a doctor doing private practice, cute, fair, look   younger, brought up in a  middle-class family with the right blend of eastern and western values. I belong to OBC community. Although my mother tongue is kanada I am also fluent in Hindi.",48,,"Mangalore, Karnataka, India",,Others,5ft 3in,ab_cd_in_in,Hindu
i am interested only in dawoodi Bohra muslim boy and staying with brother n loving person all are married and settled and myself interested in educated person like minded,48,Others,,,Others,5ft 6in,sjodia,Muslim
"my sister is  a good  home maker,god fearing,smart,good looking,affectionate and respects family values,she is quiet intelligent as against her studies of 10th standard.",48,Brahmin - Smartha,"Trichy, Tamil Nadu, India",,,5ft 2in,trif978875,Hindu
"I am a confident professional hotel manager looking for an outgoing, extrovert man with a sense of humour.  I have a gentle and quiet personality. I enjoy the outdoor life and love the countryside. Enjoy walking and watching good movies. I have high family values and adore children. I come from a very close family. I have 1 sister who is married and has 4 children. Both my parents are retired. Marriage is a life time comittment. I am willing to move to whereever destiny takes me.",48,Catholic,,,Public Sector,5ft 4in,val_3_in,Christian
"Life is a sum total of emotions. My life partner will be the one who will make each one of these enjoyable for both of us. I'm an independent, spontaneous, career orientated woman. I would like to get in touch with people who are open-minded I walk with the present looking at the future. And strongly believe what ever is stored in for you will be bestowed to you. I want to carve a balanced life that will keep people captivated. I listen to music and read lots of books, and believe in equality.",48,Gujarati,"Mumbai, Maharashtra, India",,,5ft 4in,tmc2c8220,Hindu
"my friend is religious, and pious.  She is studious, and has good character. she is traditional, and she has a good family background. I think that anyone would agree that she is a good match for a good guy.",48,Others,"Islamabad, Islamabad",IIT Kanpur,Not Working,5ft 11in,SMF1401524,Muslim
"Family consists of mother Housewife & brother - Service,I am working with Govt Of India undertaking, Outspoken , Frank & simple person , . Likes to listen to Hindi Film music , Read books - Fiction & non fiction,
try new receipes. A qualified chartered & cost Accountant , intends to reach the top in my career. I mainly seek for a person who has a good sense of humour, professionally qualified ,practical who gives time for both family and career equally& Understanding . I aspire for all good things on life & to achieve the things through hard work & intellect . ",48,Brahmin - Iyer,"Mumbai, Maharashtra, India",,,5ft 2in,18091965,Hindu
"im a very fun loving person ,down to earth,mature and a free bird ,here to make some friends and select a life partner. I am god fearing and an inderpendant woman . hope to get a good response .thank you . :)
",48,Catholic,"Mumbai, Maharashtra, India",,Not Working,5ft 5in,SMF1397076,Christian
I am a fun loving person.I live in Mumbai.,48,Catholic,"Mumbai, Maharashtra, India",,Not Working,5ft 5in,SMF1395890,Christian
"I'm simple person.Thin dark skin.I'm Dark complexion.Looking for loveble man (divorse,widower no problem, with children). Educated is important.Must be very understanding. I like traveling.I'm dark",48,Nadar,,,Public Sector,5ft 6in,tmrv65_my,Hindu
"I am a fun loving conventional girl coming from a traditional family with balanced values.I believe in giving equal importance to work & fun and hence balance my life between my family, friends and professional commitments.In my free time I like going to movies or just hanging out with friends. I also enjoy cooking and reading magazines and some light novels.",48,Brahmin,"Bangalore, Karnataka, India",,,5ft 4in,bsmc2c3868,Hindu
"Belongs to cultural family with religious mind well trained in traditional customs good Back ground.I am a fun loving conventional girl coming from a traditional family with balanced values.I believe in giving equal importance to work & fun and hence balance my life between my family, friends and professional commitments.In my free time I like going to movies or just hanging out with friends. I also enjoy cooking and reading magazines and some light novels.",48,Brahmin,"Bangalore, Karnataka, India",,,5ft 2in,bsmc2c2532,Hindu
Hi Myself manjit kaur widow having 3 girls who r married living alone in goroya punjab looking for someone who can be my life partner who can be caring nd loving for me,48,Ramgariah,"Rest of Punjab, Punjab, India",,,5ft 5in,punf1365646,Sikh
"my sister Vimala,is a christian CSI & looking for a partner who knows the Lord and the word. She is a Believer and she goes to an anglican church in 
sydney.",48,Others,"Sydney, New South Wales",,,5ft,sydf1161208,Christian
"I come from a Hindu family of Uttar Pradesh.  My family has a business of Cold Storage & Ice Factory.  I work for an Art Auction House.  I am a graduate in English Literature, Political Science and Sociology from Lucknow University and have done my schooling from English Medium school from DehraDun.  My brother looks after the family work and his wife works for a pharmaceutical company.  My sister works as a qualified Fashion Designer & Yoga Instructor and her husband is a doctor (Orthopedic Surgeon).

I believe in moderate traditional values and close knit family.  I lead a balanced life and am pleasantly social. I am fond of traveling, listening to music and reading.
",48,Kshatriya,"Delhi, Delhi, India",,,5ft 4in,delf1006380,Hindu
I am a god fearing born again girl. I am also willing to adopt a child  if I dont get after marriage . Preference given to evangelist and pastors. But the guy should not have the habit of drinking and smoking. he should be gentle sober and god fearing. I am also willing to relocate myself. I also have the chances to transfer in pune  or  bombay.,48,Others,"Ooty, Tamil Nadu, India",,,5ft 4in,ootf1037962,Christian
"part indian (hindu) & filipino. speak english, a little french & a smidge of hindi. love to travel, explore other cultures, eat, dance, go to the theatre, opera or curl up with a good mystery novel, learning to cook, have a sense of humor,former actress long ago now a researcher in womens health, willing to relocate ",48,,Illinois,,Private Sector,5ft 3in,illf1040454,Others
"Ours is a simple sikh family and our children are brought up with family values. My daughter self dependent, hard working, honest. She had loving and caring attitude.She is presently working as a teacher in reputed public school. She is looking for a well educated, understanding & down to earth person.",48,Sikh - Gursikh,"Delhi, Delhi, India",,,5ft 2in,maninder_kaur,Sikh
"I know islamic religion well and respect it but i like to enjoy life like travelling around the world,im a very kind loving woman,very neat who adores cleanliness and loves perfumes,so im seeking for my match who will respect and love me and treat me very nice,someone who'l make me happy,charming who'l make me laugh,someone who knows woman's or wive's nessecities,what i need to wear for him",48,Sunni,,,,5ft 3in,woman_in,Muslim
"I am soft minded and creative person, homely and simple lady.I am fun loving, singing , roaming reading, and also cooking.I like almost same metality person",48,Kayastha,"Kolkata, West Bengal, India",,Others,5ft 5in,kolf545135,Hindu
"I am looking for a modern, independent, attractive partner who also has a good sense of humour. Personally I have a face for every occasion since I can blend in with the crowd. I am a person who is very caring, loving, compassionate, considerate, cheerful, optimistic, calm, soft-spoken, strong-willed, and persevering. I m looking for a person who should be well settled and gives equal importance to work and family.",48,,"Mumbai, Maharashtra, India",,,5ft 6in,mumjb0039,Hindu
Simple with a modest and a moderate outlook in life.Wanting to build a home again and love to give. Enjoy cooking and travelling too. Not a fanatic with religion.Hate casual affairs and relationships that dnt have a meaning. After tragedies in life still willing to live life kigsize and give happiness to friends and relatives around.,48,,,,Private Sector,5ft 8in,aamir1,Spiritual
"I am a Bombay born, ICSE schooled/ Graduated from a leading college in Mumbai / MBA from a top business school in Mumbai and placed as a senior management professional in a corporate in Mumbai, drawing an annual salary of Rs.25 lacs. I cherish and value sound ethical principles and ways of life. I am of excellent health / athletic / fair and good looking.",48,Bunt,"Mumbai, Maharashtra, India",,Private Sector,5ft 6in,mumf438124,Hindu
"My sister Jayashree is Beautiful,smart,Religious , Fair,
Understanding,............She has done BA with Eng.Lit.,D.N.S.(Naturopathy Dr.), DMLT(Pathology) . practice in Pathoogycal Lab. Pune. and as wel as teaching in  class. She has done  Dip.in vocal,Dip.in Comp.  Her hobbies are Teaching,cooking,singing,travelling etc....She loves childern very much ,she is kind hearted ,believes in God and respects  family values.......",48,Brahmin,,,Private Sector,5ft 4in,Flowers1,Hindu
"Looking for liberal mind person who will marry to me n love me n love to my kids. He should be soft-spoken, vegetarian, non-smoker n non-drinker. He should be honest , open minded.",48,Maratha,"Mumbai, Maharashtra, India",,,5ft,vandana_71_in_in,Hindu
"I am loving caring and lively person.Love to interact with people from all walks of life.I  beleive in friendship first and then proceed further.i believe in union of mind and soul and heart.To know me u need to interact with me,so all the best to all of us here.God bless all and wish all get their dreams fulfilled",48,,,,,5ft 2in,laaraa_in_in,Hindu
"I am a funloving person,tall and medium built.I like to meet people and make friends. In my sparetime I involve myself in various art and crafts like flower making,candle making ,cards.etc. My values are liberal and I can make adjustments my values are something to cherish and I believe in myself. I am looking for someone who is honest, can take decissions ,loving and take his partner for better or for worse.",48,,,,Private Sector,,life_6,Christian
"I am soft natured women,  Respect elders, I like to be a  house wife, I have three kids, I love cooking, I pray whenever I get time, I like Islam, and some time I watch T.V. also.",48,Sunni,"Bangalore, Karnataka, India",,Others,5ft 2in,Anees836,Muslim
hi....i m smart post grad single extrovert girl and m aspiring to meet a smart well settled man who can take care of me.  i lov travelling  n reading.  my preference would b for some1 from airlines/merchant navy or business. others can also apply....i strongly believe marriages are made in heaven n celebrated on earth... so somewhere there is my own prince charming (?)  who  has been created  for me xclusively n i m here to find him....pl respond if u feel d same...,48,,,,Public Sector,5ft 1in,wish2marrynow,Hindu
Did my post graduation in Microbiology from Pune university and also my Masters in Personnel Management.,48,,"Ahmednagar, Maharashtra, India","Other College, Pune University",Not Working,5ft 1in,SMF1686312,Parsi
"I am sweet, fun loving, caring, independent and honest girl. I am a fine blend of modern and traditional values. I believe in humanity and always there to help anyone in need. I believe in living life to the fullest yet is very caring towards the family. I always have a positive approach towards life",48,Nair,"Palakkad, Kerala, India",Kerala University,Private Sector,5ft 1in,SMF1644906,Hindu
,48,Digambar,"Delhi, Delhi, India",,Not Working,5ft,SMF1747537,Jain
,48,Baniya,"Raigad, Maharashtra, India",,Others,5ft 5in,SMF1712149,Hindu
,48,Dhangar,"Raigad, Maharashtra, India",Mumbai University,Others,5ft,SMF1643063,Hindu
,48,Sindhi,"Delhi, Delhi, India",,Not Working,5ft 1in,SMF1715375,Hindu
,48,Brahmin,"Mississauga, Ontario",American Intercontinental University,Private Sector,5ft 4in,SMF1708943,Hindu
"She is simple, honest, caring, lovable and sensitive person and is looking for a life partner having same values.",48,Sikh - Jat,"Laval, Quebec",Punjab University,Not Working,5ft 2in,SMF1654072,Sikh
,48,Protestant,"Delhi, Delhi, India",,Others,5ft 2in,delf1369584,Christian
,48,Karuneegar,"Chennai, Tamil Nadu, India","Annamalai University, Tamil Nadu",Others,5ft 2in,SMM1522268,Hindu
,48,Nair,,,,5ft 7in,alaf1248946,Hindu
,48,Hindu-Others,"Bangalore, Karnataka, India",,,5ft 3in,x854583,Hindu
