aboutText,age,caste,city,college,employedIn,height,profileID,religion
" Hi ! I am Alok Tiwari, born & brought up in Etawah, UP .Did my schooling From GIC Etawah. Graduated from University of Allahabad & PG (Economics) from Univ. of Kanpur. 

Worked with CISF,  M/O Home Affairs, New Delhi, as Sub-Inspector for close to 5 years at Mumbai Airport.

I took up a challange to switch over to Corporate World. Prepared hard & got Selected for MBA In Narsee Monjee (NMIMS-One of the Premier B'School in India) Mumbai, resigned from CISF. Currently i am in last Trim MBA & Campus Placed with FINO, a leading IT Infrastructure & operation provider to Banks & Govt. for Microfinance, at Middle Management level. My Take home salary is 6. 5 lacs per annum(INR),(CTC=8.78 Lacs INR).

I have joined FINO and I am currently on a project in haryana. 

I think, I am Honest, Gentle, hadrworking, straightforward, ambitious, caring, value based down to earth person.

I have Two elder brothers and one elder sister. Eldest brother is Section Officer(Gazetted Officer) with Central Ministry, happily married, blessed with two kids & well settled in Delhi. Elder one, an IITian working with TCS as a project Manager, married, & blessed with a sweet son. Sis In law is also an IITian & is an IES officer & settled in Delhi. Only elder sister is a goverment teacher married to fantastic person, a lectuter & settled in Agra. Father is a Retired teacher & stays with my sweet mom in Etawah U. P. We are a simple, progressive value based middle class family attached to our roots.",35,Brahmin - Kanyakubj,"Etawah, Uttar Pradesh, India",,Private Sector,5ft 10in,x981640,Hindu
i m a guy who has his business in chandigarh..i m in search for a good lyf partner...who should be decent n gud in nature....i will never betray anyone..,35,Sikh - Others,"Chandigarh, Chandigarh, India",,,5ft 9in,cham1377935,Sikh
"I am firm in religious fundamentals. I am flexible too, co-operative, dedicated, simple, down to earth person. ",35,Others,"Ahmednagar, Maharashtra, India","Amravati University, Maharashtra",Private Sector,5ft 8in,punm955258,Muslim
Presently working in NYC in IT field and doing MS. No bad habits. Parents are in Chennai. Seeks matching bride from Digambar sect preferably Tamil speaking fair looking from middle class family. Have 2 sisters both are married. ,35,Digambar,"Dobbs Ferry, New York",,,5ft 9in,newm866597,Jain
i just want a very simple begali girl.she should be educated and fair looking.as of myself rite now i'm settled in kolkata working in ITC corp as an network executive,35,Bengali,"Kolkata, West Bengal, India",,,5ft 6in,kolm1337909,Hindu
" belive in give & take respect . well
maintiain, good personality & good
monthly salary & having family status in k.s.a . trust the people and
respect to all religion.
",35,Kayastha,,,Private Sector,5ft 7in,othm1374798,Hindu
hi this is bernard am a very cool person i love god i live in my gods life and am a very god fearing guy i love my parents and family members so u can contact me fo the number given thank you,35,Others,"Bangalore, Karnataka, India",,,5ft 2in,banm1376363,Christian
"Being self-made is bliss for people. They feel worthy of many things if they have been able to achieve everything on their own. They are never afraid of taking risks and that is the only way how people get successful. The ability to take risks takes people to new heights. 
I am also of the same type and I am very proud of myself for being like this. I feel I have been able to achieve what is considered as the most difficult thing for many people. This feeling in itself makes me very happy and satisfied with my life. 
Professionally, I am the Area Sales Manager and I am satisfied with my work. I donÃ¢â¬â¢t criticize it or curse the people who give me work like many other people do. I always do things happily and that is how I have been able to reach this far. In future, I would like to excel in the same field. 
My school education was very smooth and I was a very sincere student. After schooling, I completed Higher Diploma in Software Engineering from Aptech. After that, I started working. 
My father has retired as an Assistant Operations Manager from Railways and my mother is a homemaker. One of my sisters is married and the other one is pursuing B.Sc (Computers) from GNIIT. I love my family and spending time with them is like a treat for me. 
When I get some time free, I watch movies and listen to music. Apart from that, I like surfing internet and reading about things that are important in daily life. 
",35,Kayastha,"Lucknow, Uttar Pradesh, India",,Private Sector,5ft 10in,lucm1308129,Hindu
"I am working in Pune 
                                                                                                                                                            ",35,Brahmin,"Pune, Maharashtra, India",,,5ft,punm1375725,Hindu
"Am a very simple guy with love for travel, nature and photography. I believe in living life as I want to be irrespective of the circumstances that I stumble across. Though not very ambitious, but I have my own dreams and am out to achieve them. Very passionate about the things I do and put my heart and soul into it. Prefer simplicity rather than the coloured glamour of today's world. Looking out for a life partner who's very much like me.

I love bikes and love speed. Have done lot of travelling on my bike to various parts of the country. Please pardon for the terrible pics I've put up of my own and the ones I've put are a very few my friends have clicked while being out on a ride, there are hardly any without me wearing a helmet. I love clicking people and their expressions, but then I get left out.",35,,"Thane, Maharashtra, India",,,5ft 8in,tham912459,Buddhist
I am gentle man with modern thoughts not having the complications of traditional facilities                                                               ,35,Brahmin,"Ahmednagar, Maharashtra, India",,,5ft 6in,ahmm1074384,Hindu
"My Son T. Neelakandan is a Managing Director in Incline Solutions, Kanchipuram Bpo Concern.  My Business is Silk Business and my wife home maker. Only one son Neelakandan he is finished M.com and Diploma in Co-op Management and HDCA.",35,Mudaliar,,,Others,5ft 11in,kanm1010872,Hindu
"hi i am raj i am m.a (eng).mba, msw. i am simple ,down to earth who believes in values more than life.i am still childish.  Am also Creative and  i like to watch hindi movies, reading books and net surfing.",35,Brahmin - Sanadya,"Dewas, Madhya Pradesh, India",,Private Sector,5ft 3in,dewm1045649,Hindu
"I am intellectual depth and cool minded person, who believes in family and target oriented person. I'm looking for a tall, fair, athletic, slim looking and smart girl who can take care of my business as well as my family (parents).",35,Kayastha,"Varanasi, Uttar Pradesh, India",,,5ft 8in,varm842966,Hindu
"my brother search marriage profile 
he working as dubai zenier electronic in supervisor. past 3 years. younger sister not married. father has retired railway. mother has housewife.  ",35,Adi Dravida,"Chennai, Tamil Nadu, India",,,5ft 8in,chem1372601,Hindu
I am simple and honest person. Believe in truthfulness. Respect  all elders of family. Love  children. From a disciplined and educated family.  Believe in peaceful life.,35,Yadav,"Rewari, Haryana, India",,,5ft 7in,rewm1371857,Hindu
" I am living alone in this world , as i have no parents and i have only one sister ,she was married. i am well settled and self confident , humorous and lovable person.",35,Kshatriya,,,Private Sector,5ft 7in,madm935113,Hindu
"Gaurav is a jovial and fun loving person with a kind heart.He is very fair and handsome and has a charming personality and courteous manners.He is very fond of music and acting and plays the key board with dexterity.He also play the guitar and is presently learning flute from Shri Hari Prasad Chaurasia. He has comleted his degrees in Science and LAw and has done Marketing Management from Mumbai.He works as a Territory Manager Sales for a very large MNC at Mumbai.
Our family hails from Jaipur Rajasthan and have settled in Mumbai for the past 75 years. The family owns 2 houses at Mumbai as well as one house in NOIDA near Delhi. We are a close knit family. Gaurav's younger brother is studying for his BDS at Mumbai.Gaurav's father is a chemical engineer and  management professional and works as a President of a large company.Gaurav's mother is a house wife. ",35,Brahmin,"Mumbai, Maharashtra, India",,MNC,5ft 8in,mumm1032868,Hindu
"B COM DELHI UNIVERSITY
: FROM AMITI
He is WORKING AS SENIOR MERCHANDISER IN BUYING HOUSE.FATHER
MOTHER
: RETIRED GOVT OFFICER
: SCHOOL TEACHER
  ",35,Brahmin,"Delhi, Delhi, India",,,6ft,delm1368578,Hindu
"Down to earth, creative,Family oriented and man of decency, belong to renowned artistic family background.
Working in Arena multimedia as Animation designer&Faculty in Mohali.Also works as freelance for Animation consultancies.
He's also a creative painter with a poetic substance.One of his painting got selected in all India painting exhibition organized in mumbai.About 

Gurudutta is Post Graduate in Fine arts from Polytechnique, Kala Niketan , Jabalpur,MP,And International diploma in Animation Design From xplora Gugaon.
Father is retired first class staff  officer from electricity board Madhya Pradesh,Jabalpur ,mother is senior artist of Aakashwani.Guru has two sisters both are married & well settled. As me the elder sister of gurudutta staying in Jammu, my husband is working with Tata as Marketing Head J&K, my younger sis & her husband both are working with songs & drama division Delhi& are faculty with Goenka international school,Gurgaon & settled in Delhi.
Guru is the only son.our native place is Jabalpur,MP. ",35,Vishwakarma,"Chandigarh, Chandigarh, India",,Private Sector,5ft 9in,cham1303124,Hindu
"I am a liberal and ritualistic person.My opinion is that life is not only enjoy but also to do something extra. I live in joint family.At that time, my job (Investigator) is at BEO Office Nainpur Dist-Mandla. ",35,Rajput,"Balaghat, Madhya Pradesh, India",,,5ft 7in,gonm1371458,Hindu
"I want a good looking girl the same and lead to almighty. ItÃâs just that each one professes it in a different way. My soul mate should respect my sentiments. For a relationship to be successful, it must be based on mutual understanding. Just as I donÃât expect my partner to blindly follow my faith, he too should give me the space to follow mine.",35,Brahmin,"Bhubaneshwar, Orissa, India",,,5ft 6in,bhum1325789,Hindu
"I am an open minded person with a happy go lucky kind of attitude. i take life as it comes. Brought up in the city of dreams, I am a Mumbaikar to the core. I love being with friends and family.

I am Chartered accountant by profession and currently work for a MNC consulting firm in Muscat. My long term plans are to settle down in AAMCHI MUMBAI.

More about me...hmm.....probably when we meet.....should have something to talk about rite! ",35,Brahmin,Others,,MNC,5ft 6in,othm905388,Hindu
"
Three passions have governed my life: 
The longings for love, the search for knowledge, 
And unbearable pity for the suffering of [humankind]......",35,Brahmin,"Ahmedabad, Gujarat, India",,,5ft 8in,ahem1364383,Hindu
"Simple, straight forward, hails from traditional family but with modern outlook. interested in studies and also in sports activities. like to keep self respect and will also respect others with clean habits.",35,Brahmin,"Chennai, Tamil Nadu, India",,,5ft 3in,chem864110,Hindu
"Beutiful,romantic,faithful,,creative,socialand decent woman i like as my partner.I look for a woman who deeply engaged in love with me.I love her more than my self.",35,,"Patna, Bihar, India",,,5ft 1in,patm1364333,Others
"I am happy go lucky guy, live and let live is my policy, always striving for the next level of success, Sports,books and travelling keeps me going. Listen to lot(loads) of music.",35,Kamma,"Hyderabad, Andhra Pradesh, India",,,5ft 8in,hydm1000407,Hindu
"I am polite, sensible, moderate valued,logical ,highly educated,smart and disciplined person willing to prosper more in life.After successfully carrying out education and a faculty in computer sc and engg. right now concentrating on business development in the name of NIAS.",35,Brahmin - Kulin,,,,5ft 11in,kolm1033789,Hindu
"hi , Iam Amit prajapati, iam run my own business in jharkhand ( C&f ship of cement company , Dealearship ship of mahindra genset ) , iam always belive in basic of life",35,Kumbhakar,,,Others,5ft 8in,dhbm769775,Hindu
"My freind is a very successful, one of the youngest managers in the company, He is caring, compassionate and ambitious, but for him family comes before everything. He has only one younger sister who is married and settled in mumbai. Brother-in-law is a class 1 officer with Maharastra govt. ",35,Kayastha,"Guwahati, Assam, India",,MNC,6ft,guwm833806,Hindu
I am very much down to earth and giving values to the parents .I am working in the lecturership but after my job completes I try to enjoy every moment of life with full enthuastic,35,Teli,,,Private Sector,5ft 6in,bham957546,Hindu
Hi my brother has done Mining Engineering.Currently working with Aditya Birla Group in Hindalco Industries as a Mining Engineer.He is a fun loving person. ,35,Kayastha,"Mirzapur, Uttar Pradesh, India",,,5ft 11in,mirm1368348,Hindu
"Hi. 
I have done my MBBS and MD from one of the premier institutes in India and now pursuing my Senior Residence in a Government Hospital in New Delhi. ",35,Punjabi,"Delhi, Delhi, India",,Central Government,5ft 11in,delm1354637,Hindu
" - down-to-earth
- i dont have any ancestral property  etc etc but i can take care of my family with whatever i earn
- not very religious
- like listening to progressive rock and other types of music.
- I love my family.
- I think i am very accommodating
- I love pets


",35,Agarwal,"Bangalore, Karnataka, India",,MNC,5ft 6in,banm1356367,Hindu
"I am born and brought-up in Mumbai. After my engineering I joined a multinational company
located in Mumbai. I prefer a healthy blend of traditional and modern outlook in life. I like Indian and western music very much. I like to watch movies. I avoid artificiality. I shall prefer my life partner having similar interest.

My father has retired from central Govt. (class-1 officer). My mother is a house wife. I have a sister (younger, married), she has done BE from BITS Pilani (Raj. ) and working in senior position in a reputed software firm in Mumbai. 
We are Srivastav Kayastha hailing from Allahabad but settled in Mumbai since 1965.

",35,Kayastha,"Mumbai, Maharashtra, India","Other College, Mumbai University",MNC,5ft 9in,mumm732432,Hindu
I am a fun loving person very humble.Love eating different food and travelling to different places.I beleive love is the only true thing in life.My favourite pastime is watching movies and travelling,35,Sindhi,,,Private Sector,5ft 10in,mumm923029,Hindu
i enjoying my life and make new  frd and i like spend some time with my friends circle i love also pets and flower i like chatting and im weakup early morning. when i m free then listening some music and reading news paper. so i like my life shedule.,35,Agarwal,"Lucknow, Uttar Pradesh, India",,,5ft 5in,saurabh_1234_in,Hindu
"Hi, my name is Raj shekhar n im from Hyderabad.I cherish family values and believe in them strongly. As i am down to earth person looking forward to meet my partner.Self motivated n not dependent on anyone.I believe in striking the right balance between personal and professional life. I like to live life in a happy go lucky manner. Small things like watching tv/movies with family members, chilling out at a mall, drives etc give me a lot of pleasure. Im currently working asTech.Support Exe in Sutherland Global Services, Vizag.Well its difficult to put everything into this space. 
Thanks for taking out time to read this.... more when we meet. .. Good Luck!
",35,Others,"Hyderabad, Andhra Pradesh, India",,MNC,5ft 5in,hydm987317,Christian
"I AM LOOKING VERY SMSRT IAM WORKING AS SUPERWISER AS SOEAR LOG ISTCS I AM LIVING AT LONIKAND TAL HAVALI PUNE
MY SALERI IS AROUND 10 THOUSAND I AM BATCHLAR ",35,Maratha,"Satara, Maharashtra, India",,,5ft 5in,satm1341241,Hindu
My name is Uttam.I belong to a very simple family with four persons.I work in business field and recently I have started a video editing setup and a video production unit at Tollygunj Kolkata and my future planning is to settle down at Kolkata.My annul income is respectable and I want a simple girl from a good background as my life partner.,35,Kayastha,"Guwahati, Assam, India",,,5ft 11in,jorm896926,Hindu
